"","Date","Time","nObs"
"119",2019-06-20,2020-07-11 20:57:00,"1"
"120",2019-06-20,2020-07-11 21:01:00,"2"
"121",2019-06-20,2020-07-11 21:02:00,"1"
"122",2019-06-20,2020-07-11 21:07:00,"1"
"123",2019-06-20,2020-07-11 21:09:00,"1"
"124",2019-06-20,2020-07-11 21:14:00,"1"
"125",2019-06-23,2020-07-11 20:45:00,"1"
"126",2019-06-23,2020-07-11 20:47:00,"1"
"127",2019-06-23,2020-07-11 20:48:00,"1"
"128",2019-06-23,2020-07-11 20:49:00,"1"
"129",2019-06-23,2020-07-11 20:51:00,"1"
"130",2019-06-23,2020-07-11 20:53:00,"2"
"131",2019-06-23,2020-07-11 20:57:00,"1"
"132",2019-06-23,2020-07-11 21:04:00,"1"
"133",2019-06-23,2020-07-11 21:10:00,"1"
"134",2019-06-23,2020-07-11 21:15:00,"1"
"135",2019-06-23,2020-07-11 21:17:00,"1"
"136",2019-06-26,2020-07-11 20:49:00,"1"
"137",2019-06-26,2020-07-11 20:53:00,"1"
"138",2019-06-26,2020-07-11 20:54:00,"3"
"139",2019-06-26,2020-07-11 20:55:00,"1"
"140",2019-06-26,2020-07-11 20:56:00,"1"
"141",2019-06-26,2020-07-11 20:57:00,"1"
"142",2019-06-26,2020-07-11 20:58:00,"3"
"143",2019-06-26,2020-07-11 20:59:00,"1"
"144",2019-06-26,2020-07-11 21:02:00,"1"
"145",2019-06-26,2020-07-11 21:03:00,"3"
"146",2019-06-26,2020-07-11 21:06:00,"2"
"147",2019-06-26,2020-07-11 21:07:00,"1"
"148",2019-06-26,2020-07-11 21:08:00,"1"
"149",2019-06-26,2020-07-11 21:19:00,"1"
"150",2019-06-28,2020-07-11 20:36:00,"1"
"151",2019-06-28,2020-07-11 20:44:00,"1"
"152",2019-06-28,2020-07-11 21:02:00,"1"
"153",2019-06-28,2020-07-11 21:04:00,"2"
"154",2019-06-28,2020-07-11 21:08:00,"1"
"155",2019-06-28,2020-07-11 21:10:00,"1"
"156",2019-06-28,2020-07-11 21:11:00,"2"
"157",2019-06-28,2020-07-11 21:13:00,"2"
"158",2019-06-28,2020-07-11 21:17:00,"1"
"159",2019-06-28,2020-07-11 21:21:00,"1"
"160",2019-06-29,2020-07-11 20:36:00,"1"
"161",2019-06-29,2020-07-11 20:40:00,"2"
"162",2019-06-29,2020-07-11 20:44:00,"1"
"163",2019-06-29,2020-07-11 20:48:00,"1"
"164",2019-06-29,2020-07-11 20:51:00,"1"
"165",2019-06-29,2020-07-11 20:52:00,"4"
"166",2019-06-29,2020-07-11 20:54:00,"1"
"167",2019-06-29,2020-07-11 20:56:00,"3"
"168",2019-06-29,2020-07-11 20:57:00,"1"
"169",2019-06-29,2020-07-11 20:58:00,"1"
"170",2019-06-29,2020-07-11 20:59:00,"3"
"171",2019-06-29,2020-07-11 21:01:00,"2"
"172",2019-06-29,2020-07-11 21:02:00,"1"
"173",2019-06-29,2020-07-11 21:03:00,"1"
"174",2019-06-29,2020-07-11 21:04:00,"1"
"175",2019-06-29,2020-07-11 21:05:00,"1"
"176",2019-06-29,2020-07-11 21:06:00,"2"
"177",2019-06-29,2020-07-11 21:07:00,"2"
"178",2019-06-29,2020-07-11 21:08:00,"1"
"179",2019-06-29,2020-07-11 21:09:00,"1"
"180",2019-06-29,2020-07-11 21:10:00,"1"
